Funding Product,Best-Fit Situation / Trigger,Primary Capital Pressure,Typical Trades,What It Covers,Best Signals,Not A Fit When,Likely Speed,Outreach Angle,Example CTA,Compliance Notes
Equipment Financing,"Buying or replacing revenue-producing equipment, trade tools, shop machines, lifts, chippers, diagnostic systems, excavators, pavers, HVAC units, or specialty gear.",Large asset purchase would drain operating cash.,HVAC; excavation; concrete; paving; tree service; auto repair; septic; towing; well drilling; landscaping,"New or used equipment, machinery, tools, shop equipment, revenue-producing assets.",Equipment photos; new service line; operator/technician hiring; backlog; posts about broken/outdated equipment; heavier jobs.,"Need is purely payroll, marketing, or receivables; business is too new/thin; equipment is not tied to revenue.",Moderate (1-5 days),"Equipment makes money, but buying it outright can choke cash. Compare options that keep cash free while the gear goes to work.",Want me to show what equipment funding could look like?,"Do not imply approval, rate, term, or asset eligibility without lender review."
Fleet Financing,"Adding, replacing, or repairing trucks, vans, trailers, wreckers, service vehicles, or delivery units.",Revenue-producing vehicles need capital before new routes/jobs produce cash.,Trucking; last-mile delivery; towing; HVAC; plumbing; moving; septic; landscaping; field services,"Tractors, trailers, service vans, flatbeds, wreckers, box trucks, vehicle repair/replacement.",Fleet photos; driver hiring; new routes/contracts; service area expansion; vehicle repair posts; multi-truck operation.,Solo light-asset business with no visible vehicle dependency.,Moderate (1-5 days),"If trucks are the bottleneck, fleet funding can help keep jobs moving without draining operating cash.",Worth looking at a fleet option or two?,Avoid claiming vehicle/title collateral is sufficient without full qualification.
Working Capital / Term Loan,"General cash need tied to growth, payroll, repairs, materials, insurance, fuel, staffing, or short-term operating pressure.",Flexible cash is needed to bridge timing gaps or support growth.,All approved local service trades,"Payroll, materials, repairs, rent, insurance, marketing, staffing, general business cash needs.",Hiring; expansion; seasonal ramp; busy reviews; increased service volume; no single asset need.,"Specific receivables or equipment product is a better, cleaner fit.",Fast (1-3 days),Flexible capital can cover the messy middle between growth and collected revenue.,Want the 60-second version?,Do not describe as best/cheapest; frame as one possible fit.
Business Line of Credit,Recurring or unpredictable cash gaps where the operator needs draw-as-needed flexibility.,"Cash needs fluctuate by job, season, route, or receivable timing.",HVAC; plumbing; roofing; landscaping; auto repair; cleaning; contractors; service businesses with recurring deposits,"Revolving access for materials, payroll, repairs, inventory, short cash gaps.",Recurring contracts; seasonal variability; multiple small cash gaps; established business activity.,Business only needs one specific asset or has severe red flags.,Fast to moderate (1-5 days),A line gives you a cash safety valve without borrowing more than the job actually needs.,Want me to compare a line versus a lump-sum option?,Do not imply revolving approval or credit limit before review.
Merchant Cash Advance / Revenue-Based Funding,"Urgent cash need, strong recent revenue/deposits, fast-moving opportunity, or weaker traditional credit profile.",Speed matters more than lowest cost.,Auto repair; HVAC; plumbing; restoration; high-ticket service shops; local operators with steady card/bank deposits,Fast operating cash repaid from future revenue or frequent payments.,Strong service demand; daily/weekly deposits; urgent repair/payroll/materials need; no time for bank paperwork.,Existing debt stack is heavy; revenue is weak/uneven; lower-cost financing is available and timing allows.,Very fast (same day-2 days),"If the opportunity or emergency cannot wait on a bank, revenue-based capital may bridge the gap.",Want me to check whether fast working capital even makes sense here?,Avoid softening cost/risk; do not promise same-day funding or approval.
Receivables / Invoice Bridge,"Business waits on commercial clients, insurance claims, project draws, retainage, or net-30/60/90 invoices.","Work is completed or underway, but cash collection lags payroll and suppliers.",Restoration; commercial cleaning; general contractors; electrical; plumbing; trucking; government/commercial contractors,"Advance/bridge against invoices, insurance receivables, project draws, or slow customer payments.",Insurance claim support; commercial contracts; net terms; government work; project draw language; receivable complaints.,No invoice/receivable basis exists or customers are mostly consumer COD.,Fast (1-3 days),"The work may be done, but bills do not wait for customers, carriers, or insurance companies to pay.",Want me to show a receivables bridge example?,Do not claim invoices are eligible until verified.
Freight Factoring,"Carrier waits on broker/shipper payments while fuel, repairs, insurance, and driver pay hit first.",Freight revenue is delayed by broker/shipper payment cycles.,Trucking; logistics; last-mile delivery; freight carriers,"Advances against freight invoices, often on a recurring basis.",Freight routes; CDL hiring; broker/shipper pay; fleet growth; fuel pressure; dispatch growth.,Not a freight carrier or invoices are not factorable.,Very fast (same day-2 days),Get paid on loads sooner instead of letting brokers dictate your cash calendar.,Want to compare factoring versus a working-capital bridge?,"Do not mention factoring terms, advance rates, or fees unless verified."
Materials / Inventory Funding,"Large material order, supply restock, unit inventory, parts inventory, or project materials needed before payment arrives.",Materials or inventory must be purchased upfront.,Roofing; concrete; paving; electrical; plumbing; HVAC; auto repair; general contracting,"Materials, supplies, parts, HVAC units, roofing materials, concrete/asphalt inputs, project stock.",Large jobs; backlog; supplier costs; seasonal stocking; parts shortage; commercial contract; insurance job.,Need is primarily labor/fleet/marketing rather than materials.,Fast (1-3 days),Materials often hit before the job pays. A short bridge can protect cash flow.,Want me to send a quick materials-funding example?,Avoid implying supplier purchases are automatically fundable.
Payroll Bridge,"Hiring crews, techs, drivers, dispatchers, or seasonal workers before revenue from added capacity is collected.",Payroll runs ahead of collections.,Roofing; landscaping; restoration; HVAC; trucking; cleaning; moving; contractors,"Short-term payroll cycles, onboarding labor, seasonal labor ramp, crew expansion.",Job posts; hiring spree; busy season; backlog; new contracts; service expansion.,No growth/demand signal and payroll issue looks like distress rather than ramp.,Very fast (same day-2 days),"Hiring is a good sign, but payroll can squeeze cash before new revenue catches up.",Want to see what a payroll bridge might look like?,Do not imply the business cannot make payroll; phrase as timing/ramp pressure.
Project / Contract Financing,"Large contract, commercial job, mobilization cost, draw schedule, retainage, subcontractor payments, or upfront project costs.",Big job requires cash before draws or final payment.,General contracting; electrical; concrete; paving; excavation; commercial trades; restoration,"Mobilization, subs, materials, labor, equipment rental, project-specific cash needs.",Commercial contract; municipal project; project backlog; new job announcement; draw/retainage language.,No specific project or backlog exists.,Moderate (2-5 days),A big job can be a blessing and a cash-flow ambush at the same time.,Want to map the project cash gap?,Do not represent as construction lending approval; needs project review.
SBA Loan,"Established stable operator seeking larger, lower-cost, longer-term capital for expansion, acquisition, real estate, or major refinancing.",Long-term growth need where lower cost matters more than speed.,Established HVAC; plumbing; auto repair; multi-location home services; stable contractors,"Expansion, acquisition, owner-occupied real estate, refinance, large working capital needs.",Years in business; strong footprint; multi-location; stable reviews; acquisition/real estate plans.,Urgent same-week cash need or very thin/new business.,Slow (weeks),"If the move is strategic and you can wait on paperwork, SBA-style capital may be worth comparing.",Want me to sanity-check whether SBA is realistic or too slow?,Do not state SBA eligibility; lender/guaranty requirements vary.
Expansion Capital,"New location, service-area expansion, new service line, franchise growth, acquisition, or added crews/vehicles.",Growth costs hit before the new revenue stabilizes.,HVAC; roofing; pest control; home services; franchises; auto repair; regional service operators,"Buildout, hiring, vehicles, marketing, inventory, training, acquisition support.",New branch/service area; multiple job posts; franchise/acquisition language; marketing push.,No clear growth path or expansion is speculative.,Moderate (2-5 days),Expansion usually needs cash before the new area starts paying for itself.,Want to compare expansion-capital options?,Avoid assuming growth is profitable; frame as planning support.
Marketing Capital,"Rebrand, new website, paid ad push, local SEO campaign, new service-area launch, or seasonal lead capture.",Lead generation spend occurs before new jobs pay.,Roofing; HVAC; plumbing; pest control; auto repair; home services; seasonal trades,"Ads, SEO, website, direct mail, canvassing, branding, lead generation.",New website; active ads; rebrand; new market; seasonal campaign; hiring sales reps.,No marketing/growth signal or business has severe reputation issues.,Fast (1-3 days),"A marketing push can work, but only if cash survives the ramp.",Want to see whether funding the campaign makes sense?,Do not imply marketing ROI.
Fuel-Cost Buffer / Short-Term Bridge,"Fuel, insurance, repairs, tolls, route growth, or variable operating costs strain cash between receipts.",High variable costs hit before routes/jobs pay.,Trucking; towing; last-mile delivery; landscaping; excavation; moving; fleet-heavy trades,"Fuel, insurance, repairs, temporary operating cushion.",Fleet dependence; route growth; driver hiring; fuel-heavy work; seasonal travel; equipment operation.,Trade is not vehicle/fuel-heavy.,Very fast (same day-2 days),Fuel can quietly drain margin even when routes or jobs look profitable.,Want to look at a short buffer instead of parking trucks?,Do not imply distress; position as timing/operating cushion.
Seasonal Working Capital,"Pre-season ramp, off-season carry, inventory/staffing prep, repairs, or seasonal revenue gap.",Costs arrive before peak-season revenue.,Landscaping; lawn care; snow removal; pool service; HVAC; pest control; roofing,"Equipment prep, payroll, materials/supplies, marketing, slow-season bridge.",Seasonal trade; pre-season hiring; equipment prep; booked contracts; peak demand window.,No seasonal pattern or severe red flags.,Fast (1-3 days),"The season pays later, but prep costs hit now.",Want to map the season’s cash gap before it hits?,Do not promise seasonal revenue or repayment fit.
Debt Refinance / Consolidation Review,"Multiple advances/loans, stacked payments, heavy daily/weekly debits, or cash-flow stress from existing obligations.","Debt service crowds out payroll, materials, or operations.",Any local service business with existing debt stack,"Review of refinancing, consolidation, payoff, or restructuring options when available.",User-provided debt info; applicant says payments are too high; bank statements show multiple debits.,No debt details are provided; avoid inferring debt distress from public data.,Varies (2 days-weeks),"If payments are crowding payroll or materials, it may be worth reviewing options before it gets uglier.",Want me to review the debt stack before you add anything new?,Do not diagnose distress from public data; use only when provided by user/client.
